t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
3.778598, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.838489, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.839935, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.8412, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.874498, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.880011, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.895404, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.915071, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.021942, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.058168, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.059422, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.062066, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.064036, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.065664, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.06741, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.075737, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.094862, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.115537, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.135486, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.155424, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.175345, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.1944, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.215176, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.235156, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.255121, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.275071, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.298128, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.314941, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.334872, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.354855, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.395815, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.396324, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.41566, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.434618, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.454662, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.475506, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.502031, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.523469, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.535349, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.55468, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.574421, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.595319, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.615167, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.634134, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.655063, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.67496, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.695063, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.714876, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.734796, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.754738, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.774712, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.794904, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.814663, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.835642, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.854621, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.875578, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.894539, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.913989, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.934063, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.955144, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.975629, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.994963, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.015126, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.034312, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.054689, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.075205, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.094938, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.115649, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.135755, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.154759, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.174653, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.194627, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.214444, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.234485, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.254362, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.274804, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.294245, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.314437, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.334592, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.355754, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.373957, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.395061, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.414419, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.434573, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.455059, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.474182, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.4951, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.514082, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.534313, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.555005, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.574522, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.595075, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.614916, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.635733, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.654938, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.674718, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.720773, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.721126, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.735323, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.75521, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.774459, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.794222, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.814452, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.835205, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.854565, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.875553, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.895827, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.915707, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.934142, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.955035, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.974064, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.995069, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.014173, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.034324, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
