t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
1.112824, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.194291, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.271627, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.272219, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.272704, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.273079, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.273478, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.273922, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.274298, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.290723, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.310974, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.330619, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.350694, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.369982, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.390212, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.410376, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.430438, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.451728, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.471166, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.490362, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.537334, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.537846, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.562646, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.570185, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.590781, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.610796, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.631376, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.651496, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.670053, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.690964, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.710802, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.772412, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.772766, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.773085, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.790802, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.810122, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.830389, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.850046, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.870369, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.890308, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.911447, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.930185, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.950554, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.970909, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
1.99056, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.010309, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.036439, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
2.049893, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
